Name,price,image
 Royal Canin Babydog milk Leche para cachorros - 400 Gr.,17.80 €,https://www.petsonic.com/2067-large_default/comida-lata-para-perros-royal-canin-leche-para-cachorros.jpg
 Royal Canin Babydog milk Leche para cachorros - 2 Kg.,50.56 €,https://www.petsonic.com/2067-large_default/comida-lata-para-perros-royal-canin-leche-para-cachorros.jpg
 Royal Canin Veterinary Diets Gastrointestinal Low Fat 200gr Húmedo - 12 Unidades.,19.01 €,https://www.petsonic.com/23279-large_default/comida-lata-para-perros-royal-canin-veterinary-diets-gastrointestinal-low-fat-200gr-humedo.jpg
 Royal Canin Veterinary Diets Satiety Support Weight Management 410 gr. Húmedo - 12 Unidades.,33.36 €,https://www.petsonic.com/24050-large_default/comida-lata-para-perros-royal-canin-veterinary-diets-satiety-support-weight-management-410-gr-humedo.jpg
 Royal Canin Veterinary Diets Renal Lata 200gr Húmedo - 12 Unidades.,19.43 €,https://www.petsonic.com/9311-large_default/comida-lata-para-perros-royal-canin-veterinary-diets-renal-lata-200gr-humedo.jpg
 Royal Canin Chihuahua Pouch 85 gr. Comida húmeda raza. - 12 unidades 85 gr,12.30 €,https://www.petsonic.com/23198-large_default/comida-lata-para-perros-royal-canin-chihuahua-pouch-85-gr.jpg
 Royal Canin Yorkshire Pouch 85 gr. Comida hùmeda raza - 12 unidades 85 gr,13.74 €,https://www.petsonic.com/23563-large_default/comida-lata-para-perros-royal-canin-yorkshire-pouch-85-gr.jpg
 Royal Canin Veterinary Diets Recovery 195 gr Húmedo - 12 Unidades.,26.90 €,https://www.petsonic.com/24067-large_default/comida-lata-para-gatos-royal-canin-veterinary-diets-recovery-195-gr-humedo.jpg
 Royal Canin Veterinary Diets Renal Húmedo Finas Láminas en Gelatina 150 gr - 10 unidades de 150 gr,14.92 €,https://www.petsonic.com/9132-large_default/comida-lata-para-perros-royal-canin-veterinary-diets-renal-humedo-finas-laminas-gelatina-150-gr.jpg
 Royal Canin Veterinary Diets Mobility C2P+ 400 gr Húmedo - 12 Unidades.,33.08 €,https://www.petsonic.com/9136-large_default/comida-lata-para-perros-royal-canin-veterinary-diets-mobility-c2p-400-gr-humedo.jpg
 Royal Canin Veterinary Diets Pediatric Starter Mousse Húmedo 195 gr - 12 Unidades.,25.92 €,https://www.petsonic.com/9163-large_default/comida-lata-para-perros-royal-canin-veterinary-diets-pediatric-starter-mousse-humedo-195-gr.jpg
 Royal Canin Veterinary Diets Hypoallergenic 200gr Húmedo - 12 Unidades.,19.01 €,https://www.petsonic.com/24042-large_default/comida-lata-para-perros-royal-canin-veterinary-diets-hypoallergenic-200gr-humedo.jpg
 Royal Canin Veterinary Diets Gastrointestinal 200gr Húmedo - 12 Unidades.,19.01 €,https://www.petsonic.com/24044-large_default/comida-lata-para-perros-royal-canin-veterinary-diets-gastrointestinal-200gr-humedo.jpg
 Royal Canin Veterinary Diets Hepatic 200gr Húmedo - 12 Unidades.,18.82 €,https://www.petsonic.com/24045-large_default/comida-lata-para-perros-royal-canin-veterinary-diets-hepatic-200gr-humedo.jpg
 Royal Canin Veterinary Diets Hypoallergenic 410 gr Húmedo - 12 Unidades.,31.95 €,https://www.petsonic.com/24060-large_default/comida-lata-para-perros-royal-canin-veterinary-diets-hypoallergenic-410-gr-humedo.jpg
 Royal Canin Veterinary Diets Obesity Management 195 gr Húmedo - 12 Unidades.,18.49 €,https://www.petsonic.com/9313-large_default/comida-lata-para-perros-royal-canin-veterinary-diets-obesity-management-195-gr-humedo.jpg
 Royal Canin Veterinary Diets Satiety Support Weight Management 195 gr Húmedo - 12 Unidades.,20.01 €,https://www.petsonic.com/24040-large_default/comida-lata-para-perros-royal-canin-veterinary-diets-satiety-support-weight-management-195-gr-humedo.jpg
 Royal Canin Veterinary Diets Diabetic Special Low Carbohydrate 195 gr Húmedo - 12 Unidades.,18.49 €,https://www.petsonic.com/24043-large_default/comida-lata-para-perros-royal-canin-veterinary-diets-diabetic-special-low-carbohydrate-195-gr-humedo.jpg
 Royal Canin Veterinary Diets Urinary S/O 200 gr Húmedo - 12 Unidades.,19.69 €,https://www.petsonic.com/20412-large_default/comida-lata-para-perros-royal-canin-veterinary-diets-urinary-s-200-gr-humedo.jpg
 Royal Canin Veterinary Diets Convalescense Support Húmedo 50 gr - 10 Unidades.,31.26 €,https://www.petsonic.com/16980-large_default/convalescense-support-humedo-50-gr.jpg
 Royal Canin Mini Adult (Sobre) comida húmeda - 12 unidades 85 gr,14.62 €,https://www.petsonic.com/23437-large_default/comida-lata-para-perros-royal-canin-mini-adult-sobre.jpg
 Royal Canin Mini Puppy (Sobre) comida húmeda - 12 unidades 85 gr,11.91 €,https://www.petsonic.com/23427-large_default/comida-lata-para-perros-royal-canin-mini-puppy-sobre.jpg
 Royal Canin Medium Adult (Sobre) comida húmeda - 10 unidades de 150 gr,11.60 €,https://www.petsonic.com/23415-large_default/comida-lata-para-perros-royal-canin-medium-adult-sobre.jpg
